Designator,Val,Package,Mid X,Mid Y,Rotation,Side,original
C1,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,187.454466,-35.305534,180,top,
C1,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,21.51,-70.73,0,top,
C2,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,195.504466,-15.595534,0,top,
C2,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,13.46,-90.44,180,top,
C3,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,188.504466,-15.595534,0,top,
C3,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,20.46,-90.44,180,top,
C4,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,27.46,-90.44,180,top,
C4,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,181.504466,-15.595534,0,top,
C5,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,34.46,-90.44,180,top,
C5,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,174.504466,-15.595534,0,top,
C6,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,41.46,-90.44,180,top,
C6,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,167.504466,-15.595534,0,top,
C7,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,160.504466,-15.595534,0,top,
C7,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,48.46,-90.44,180,top,
C8,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,55.46,-90.44,180,top,
C8,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,153.504466,-15.595534,0,top,
C9,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,139.504466,-15.595534,0,top,
C9,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,69.46,-90.44,180,top,
C10,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,76.46,-90.44,180,top,
C10,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,132.504466,-15.595534,0,top,
C11,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,125.504466,-15.595534,0,top,
C11,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,83.46,-90.44,180,top,
C12,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,118.504466,-15.595534,0,top,
C12,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,90.46,-90.44,180,top,
C13,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,97.46,-90.44,180,top,
C13,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,111.504466,-15.595534,0,top,
C14,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,97.504466,-15.595534,0,top,
C14,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,111.46,-90.44,180,top,
C15,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,118.46,-90.44,180,top,
C15,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,90.504466,-15.595534,0,top,
C16,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,83.504466,-15.595534,0,top,
C16,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,125.46,-90.44,180,top,
C17,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,132.46,-90.44,180,top,
C17,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,76.504466,-15.595534,0,top,
C18,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,69.504466,-15.595534,0,top,
C18,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,139.46,-90.44,180,top,
C19,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,62.504466,-15.595534,0,top,
C19,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,146.46,-90.44,180,top,
C20,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,55.504466,-15.595534,0,top,
C20,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,153.46,-90.44,180,top,
C21,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,41.504466,-15.595534,0,top,
C21,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,167.46,-90.44,180,top,
C22,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,34.504466,-15.595534,0,top,
C22,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,174.46,-90.44,180,top,
C23,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,181.46,-90.44,180,top,
C23,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,27.504466,-15.595534,0,top,
C24,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,20.504466,-15.595534,0,top,
C24,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,188.46,-90.44,180,top,
C25,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,195.46,-90.44,180,top,
C25,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,13.504466,-15.595534,0,top,
C26,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,134.504466,-19.395534,0,top,
C26,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,74.46,-86.64,180,top,
C27,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,43.604466,-23.695534,90,top,
C27,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,165.36,-82.34,-90,top,
C28,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,192.46,-64.44,0,top,
C28,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,16.504466,-41.595534,180,top,
C29,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,181.96,-64.44,0,top,
C29,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,27.004466,-41.595534,180,top,
C30,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,167.96,-64.44,0,top,
C30,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,41.004466,-41.595534,180,top,
C31,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,157.46,-64.44,0,top,
C31,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,51.504466,-41.595534,180,top,
C32,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,65.504466,-41.595534,180,top,
C32,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,143.46,-64.44,0,top,
C33,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,132.96,-64.44,0,top,
C33,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,76.004466,-41.595534,180,top,
C34,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,118.96,-64.44,0,top,
C34,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,90.004466,-41.595534,180,top,
C35,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,100.504466,-41.595534,180,top,
C35,"C,100n,16V,0402,10%,X5R,85C",C_0402_1005Metric,108.46,-64.44,0,top,
J1,Conn_01x05,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,192.464466,-46.035534,180,top,
J1,Conn_01x05,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,16.5,-60,0,top,
J2,Conn_01x06,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,36.82,-60,0,top,
J2,Conn_01x06,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,172.144466,-46.035534,180,top,
SW1,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,195.504466,12.904466,-90,top,
SW1,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,13.46,-118.94,90,top,
SW2,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,20.46,-104.94,90,top,
SW2,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,188.504466,-1.095534,-90,top,
SW3,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,181.504466,12.904466,-90,top,
SW3,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,27.46,-118.94,90,top,
SW4,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,174.504466,-1.095534,-90,top,
SW4,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,34.46,-104.94,90,top,
SW5,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,41.46,-118.94,90,top,
SW5,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,167.504466,12.904466,-90,top,
SW6,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,160.504466,-1.095534,-90,top,
SW6,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,48.46,-104.94,90,top,
SW7,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,55.46,-118.94,90,top,
SW7,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,153.504466,12.904466,-90,top,
SW8,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,69.46,-118.94,90,top,
SW8,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,139.504466,12.904466,-90,top,
SW9,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,76.46,-104.94,90,top,
SW9,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,132.504466,-1.095534,-90,top,
SW10,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,125.504466,12.904466,-90,top,
SW10,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,83.46,-118.94,90,top,
SW11,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,90.46,-104.94,90,top,
SW11,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,118.504466,-1.095534,-90,top,
SW12,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,97.46,-118.94,90,top,
SW12,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,111.504466,12.904466,-90,top,
SW13,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,111.46,-118.94,90,top,
SW13,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,97.504466,12.904466,-90,top,
SW14,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,90.504466,-1.095534,-90,top,
SW14,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,118.46,-104.94,90,top,
SW15,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,83.504466,12.904466,-90,top,
SW15,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,125.46,-118.94,90,top,
SW16,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,76.504466,-1.095534,-90,top,
SW16,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,132.46,-104.94,90,top,
SW17,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,139.46,-118.94,90,top,
SW17,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,69.504466,12.904466,-90,top,
SW18,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,146.46,-104.94,90,top,
SW18,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,62.504466,-1.095534,-90,top,
SW19,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,55.504466,12.904466,-90,top,
SW19,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,153.46,-118.94,90,top,
SW20,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,41.504466,12.904466,-90,top,
SW20,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,167.46,-118.94,90,top,
SW21,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,34.504466,-1.095534,-90,top,
SW21,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,174.46,-104.94,90,top,
SW22,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,27.504466,12.904466,-90,top,
SW22,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,181.46,-118.94,90,top,
SW23,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,188.46,-104.94,90,top,
SW23,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,20.504466,-1.095534,-90,top,
SW24,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,195.46,-118.94,90,top,
SW24,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,13.504466,12.904466,-90,top,
SW25,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,16.504466,-34.595534,-90,top,
SW25,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,192.46,-71.44,90,top,
SW26,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,181.96,-71.44,90,top,
SW26,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,27.004466,-34.595534,-90,top,
SW27,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,41.004466,-34.595534,-90,top,
SW27,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,167.96,-71.44,90,top,
SW28,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,157.46,-71.44,90,top,
SW28,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,51.504466,-34.595534,-90,top,
SW29,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,65.504466,-34.595534,-90,top,
SW29,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,143.46,-71.44,90,top,
SW30,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,132.96,-71.44,90,top,
SW30,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,76.004466,-34.595534,-90,top,
SW31,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,90.004466,-34.595534,-90,top,
SW31,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,118.96,-71.44,90,top,
SW32,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,108.46,-71.44,90,top,
SW32,NO_BUTTON_K2-1102SP-E4SC-04,SW_SPST_PTS645,100.504466,-34.595534,-90,top,
U1,SN74LV1T34DCK,SOT-353_SC-70-5,187.454466,-37.305534,180,top,
U1,SN74LV1T34DCK,SOT-353_SC-70-5,21.51,-68.73,0,top,
U2,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,13.46,-94.44,270,top,90
U2,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,195.504466,-11.595534,90,top,-90
U3,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,188.504466,-11.595534,90,top,-90
U3,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.46,-94.44,270,top,90
U4,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,27.46,-94.44,270,top,90
U4,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,181.504466,-11.595534,90,top,-90
U5,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174.504466,-11.595534,90,top,-90
U5,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.46,-94.44,270,top,90
U6,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,41.46,-94.44,270,top,90
U6,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,167.504466,-11.595534,90,top,-90
U7,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,48.46,-94.44,270,top,90
U7,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,160.504466,-11.595534,90,top,-90
U8,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153.504466,-11.595534,90,top,-90
U8,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,55.46,-94.44,270,top,90
U9,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.46,-94.44,270,top,90
U9,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.504466,-11.595534,90,top,-90
U10,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.504466,-11.595534,90,top,-90
U10,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,76.46,-94.44,270,top,90
U11,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,83.46,-94.44,270,top,90
U11,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.504466,-11.595534,90,top,-90
U12,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118.504466,-11.595534,90,top,-90
U12,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90.46,-94.44,270,top,90
U13,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,97.46,-94.44,270,top,90
U13,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.504466,-11.595534,90,top,-90
U14,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,97.504466,-11.595534,90,top,-90
U14,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.46,-94.44,270,top,90
U15,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90.504466,-11.595534,90,top,-90
U15,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118.46,-94.44,270,top,90
U16,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,83.504466,-11.595534,90,top,-90
U16,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.46,-94.44,270,top,90
U17,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,76.504466,-11.595534,90,top,-90
U17,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.46,-94.44,270,top,90
U18,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.46,-94.44,270,top,90
U18,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.504466,-11.595534,90,top,-90
U19,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,62.504466,-11.595534,90,top,-90
U19,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,146.46,-94.44,270,top,90
U20,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,55.504466,-11.595534,90,top,-90
U20,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153.46,-94.44,270,top,90
U21,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,167.46,-94.44,270,top,90
U21,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,41.504466,-11.595534,90,top,-90
U22,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.504466,-11.595534,90,top,-90
U22,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174.46,-94.44,270,top,90
U23,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,181.46,-94.44,270,top,90
U23,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,27.504466,-11.595534,90,top,-90
U24,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,188.46,-94.44,270,top,90
U24,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.504466,-11.595534,90,top,-90
U25,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,195.46,-94.44,270,top,90
U25,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,13.504466,-11.595534,90,top,-90
U26,XRA1201PIG24,TSSOP-24_4.4x7.8mm_P0.65mm,74.46,-81.94,270,top,90
U26,XRA1201PIG24,TSSOP-24_4.4x7.8mm_P0.65mm,134.504466,-24.095534,90,top,270
U27,XRA1201PIG24,TSSOP-24_4.4x7.8mm_P0.65mm,160.46,-82.44,0,top,180
U27,XRA1201PIG24,TSSOP-24_4.4x7.8mm_P0.65mm,48.504466,-23.595534,180,top,0
U28,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,192.46,-60.44,90,top,-90
U28,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16.504466,-45.595534,270,top,90
U29,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,27.004466,-45.595534,270,top,90
U29,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,181.96,-60.44,90,top,-90
U30,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,41.004466,-45.595534,270,top,90
U30,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,167.96,-60.44,90,top,-90
U31,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.46,-60.44,90,top,-90
U31,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,51.504466,-45.595534,270,top,90
U32,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,65.504466,-45.595534,270,top,90
U32,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143.46,-60.44,90,top,-90
U33,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.96,-60.44,90,top,-90
U33,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,76.004466,-45.595534,270,top,90
U34,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90.004466,-45.595534,270,top,90
U34,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118.96,-60.44,90,top,-90
U35,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.504466,-45.595534,270,top,90
U35,WS2812E_LED,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.46,-60.44,90,top,-90
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot-5mm-wide,5,-53,0,top,
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot-5mm-wide,204,-53,0,top,
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot-5mm-wide,104.5,-53,0,top,
